idEvent,dateEvent,Fecha,Equipo local,Home Score,Equipo visitante,Away Score
2429235,2026-02-21,Fecha 1,Orense,,LDU Quito,
2429229,2026-02-21,Fecha 1,Aucas,,Mushuc Runa,
2429230,2026-02-21,Fecha 1,Barcelona SC,,Técnico Universitario,
2429236,2026-02-22,Fecha 1,Universidad Católica del Ecuador,,Emelec,
2429234,2026-02-22,Fecha 1,Macará,,Leones,
2429231,2026-02-22,Fecha 1,Delfín,,Deportivo Cuenca,
2429232,2026-02-22,Fecha 1,Independiente del Valle,,Guayaquil City,
2429233,2026-02-24,Fecha 1,Libertad FC,,Manta,
2429244,2026-02-28,Fecha 2,Técnico Universitario,,Orense,
2429241,2026-02-28,Fecha 2,Leones,,Libertad FC,
2429239,2026-02-28,Fecha 2,Guayaquil City,,Aucas,
2429238,2026-03-01,Fecha 2,Emelec,,Delfín,
2429240,2026-03-01,Fecha 2,LDU Quito,,Macará,
2429243,2026-03-01,Fecha 2,Mushuc Runa,,Universidad Católica del Ecuador,
2429237,2026-03-01,Fecha 2,Deportivo Cuenca,,Barcelona SC,
2429242,2026-03-03,Fecha 2,Manta,,Independiente del Valle,
2429247,2026-03-07,Fecha 3,Delfín,,Guayaquil City,
2429252,2026-03-07,Fecha 3,Universidad Católica del Ecuador,,Leones,
2429248,2026-03-07,Fecha 3,Independiente del Valle,,Mushuc Runa,
2429249,2026-03-08,Fecha 3,Libertad FC,,LDU Quito,
2429245,2026-03-08,Fecha 3,Aucas,,Deportivo Cuenca,
2429250,2026-03-08,Fecha 3,Macará,,Técnico Universitario,
2429246,2026-03-08,Fecha 3,Barcelona SC,,Emelec,
2429251,2026-03-10,Fecha 3,Orense,,Manta,
2429253,2026-03-15,Fecha 4,Delfín,,Manta,
2429254,2026-03-15,Fecha 4,Deportivo Cuenca,,Leones,
2429255,2026-03-15,Fecha 4,Emelec,,Orense,
2429256,2026-03-15,Fecha 4,Guayaquil City,,Barcelona SC,
2429257,2026-03-15,Fecha 4,Independiente del Valle,,Aucas,
2429258,2026-03-15,Fecha 4,LDU Quito,,Universidad Católica del Ecuador,
2429259,2026-03-15,Fecha 4,Mushuc Runa,,Macará,
2429260,2026-03-15,Fecha 4,Técnico Universitario,,Libertad FC,
2429261,2026-03-18,Fecha 5,Aucas,,Técnico Universitario,
2429262,2026-03-18,Fecha 5,Emelec,,Independiente del Valle,
2429263,2026-03-18,Fecha 5,Leones,,LDU Quito,
2429264,2026-03-18,Fecha 5,Libertad FC,,Barcelona SC,
2429265,2026-03-18,Fecha 5,Macará,,Delfín,
2429266,2026-03-18,Fecha 5,Manta,,Guayaquil City,
2429267,2026-03-18,Fecha 5,Orense,,Mushuc Runa,
2429268,2026-03-18,Fecha 5,Universidad Católica del Ecuador,,Deportivo Cuenca,
2429269,2026-03-22,Fecha 6,Aucas,,Orense,
2429270,2026-03-22,Fecha 6,Barcelona SC,,Universidad Católica del Ecuador,
2429271,2026-03-22,Fecha 6,Delfín,,Libertad FC,
2429272,2026-03-22,Fecha 6,Deportivo Cuenca,,Macará,
2429273,2026-03-22,Fecha 6,Guayaquil City,,Leones,
2429274,2026-03-22,Fecha 6,LDU Quito,,Manta,
2429275,2026-03-22,Fecha 6,Mushuc Runa,,Emelec,
2429276,2026-03-22,Fecha 6,Técnico Universitario,,Independiente del Valle,
2429277,2026-04-05,Fecha 7,Emelec,,Deportivo Cuenca,
2429278,2026-04-05,Fecha 7,Independiente del Valle,,Orense,
2429279,2026-04-05,Fecha 7,LDU Quito,,Barcelona SC,
2429280,2026-04-05,Fecha 7,Leones,,Delfín,
2429281,2026-04-05,Fecha 7,Libertad FC,,Mushuc Runa,
2429282,2026-04-05,Fecha 7,Macará,,Aucas,
2429283,2026-04-05,Fecha 7,Manta,,Técnico Universitario,
2429284,2026-04-05,Fecha 7,Universidad Católica del Ecuador,,Guayaquil City,
2429285,2026-04-12,Fecha 8,Aucas,,Emelec,
2429286,2026-04-12,Fecha 8,Barcelona SC,,Leones,
2429287,2026-04-12,Fecha 8,Delfín,,LDU Quito,
2429288,2026-04-12,Fecha 8,Deportivo Cuenca,,Independiente del Valle,
2429289,2026-04-12,Fecha 8,Guayaquil City,,Macará,
2429290,2026-04-12,Fecha 8,Mushuc Runa,,Manta,
2429291,2026-04-12,Fecha 8,Orense,,Libertad FC,
2429292,2026-04-12,Fecha 8,Técnico Universitario,,Universidad Católica del Ecuador,
2429293,2026-04-19,Fecha 9,Emelec,,Guayaquil City,
2429294,2026-04-19,Fecha 9,Independiente del Valle,,LDU Quito,
2429295,2026-04-19,Fecha 9,Leones,,Aucas,
2429296,2026-04-19,Fecha 9,Macará,,Barcelona SC,
2429297,2026-04-19,Fecha 9,Manta,,Deportivo Cuenca,
2429298,2026-04-19,Fecha 9,Mushuc Runa,,Técnico Universitario,
2429299,2026-04-19,Fecha 9,Orense,,Delfín,
2429300,2026-04-19,Fecha 9,Universidad Católica del Ecuador,,Libertad FC,
2429301,2026-04-22,Fecha 10,Barcelona SC,,Mushuc Runa,
2429302,2026-04-22,Fecha 10,Delfín,,Independiente del Valle,
2429303,2026-04-22,Fecha 10,Deportivo Cuenca,,Orense,
2429304,2026-04-22,Fecha 10,LDU Quito,,Aucas,
2429305,2026-04-22,Fecha 10,Leones,,Manta,
2429306,2026-04-22,Fecha 10,Libertad FC,,Guayaquil City,
2429307,2026-04-22,Fecha 10,Técnico Universitario,,Emelec,
2429308,2026-04-22,Fecha 10,Universidad Católica del Ecuador,,Macará,
2429309,2026-04-26,Fecha 11,Aucas,,Delfín,
2429310,2026-04-26,Fecha 11,Emelec,,LDU Quito,
2429311,2026-04-26,Fecha 11,Guayaquil City,,Técnico Universitario,
2429312,2026-04-26,Fecha 11,Independiente del Valle,,Leones,
2429313,2026-04-26,Fecha 11,Macará,,Libertad FC,
2429314,2026-04-26,Fecha 11,Manta,,Universidad Católica del Ecuador,
2429315,2026-04-26,Fecha 11,Mushuc Runa,,Deportivo Cuenca,
2429316,2026-04-26,Fecha 11,Orense,,Barcelona SC,
2429317,2026-05-03,Fecha 12,Barcelona SC,,Manta,
2429318,2026-05-03,Fecha 12,Delfín,,Mushuc Runa,
2429319,2026-05-03,Fecha 12,Deportivo Cuenca,,Técnico Universitario,
2429320,2026-05-03,Fecha 12,LDU Quito,,Guayaquil City,
2429321,2026-05-03,Fecha 12,Leones,,Emelec,
2429322,2026-05-03,Fecha 12,Libertad FC,,Aucas,
2429323,2026-05-03,Fecha 12,Macará,,Orense,
2429324,2026-05-03,Fecha 12,Universidad Católica del Ecuador,,Independiente del Valle,
2429325,2026-05-10,Fecha 13,Aucas,,Universidad Católica del Ecuador,
2429326,2026-05-10,Fecha 13,Emelec,,Libertad FC,
2429327,2026-05-10,Fecha 13,Guayaquil City,,Deportivo Cuenca,
2429328,2026-05-10,Fecha 13,Independiente del Valle,,Barcelona SC,
2429329,2026-05-10,Fecha 13,Manta,,Macará,
2429330,2026-05-10,Fecha 13,Mushuc Runa,,LDU Quito,
2429331,2026-05-10,Fecha 13,Orense,,Leones,
2429332,2026-05-10,Fecha 13,Técnico Universitario,,Delfín,
2429333,2026-05-17,Fecha 14,Barcelona SC,,Aucas,
2429334,2026-05-17,Fecha 14,Guayaquil City,,Orense,
2429335,2026-05-17,Fecha 14,LDU Quito,,Técnico Universitario,
2429336,2026-05-17,Fecha 14,Leones,,Mushuc Runa,
2429337,2026-05-17,Fecha 14,Libertad FC,,Deportivo Cuenca,
2429338,2026-05-17,Fecha 14,Macará,,Independiente del Valle,
2429339,2026-05-17,Fecha 14,Manta,,Emelec,
2429340,2026-05-17,Fecha 14,Universidad Católica del Ecuador,,Delfín,
2429341,2026-05-24,Fecha 15,Aucas,,Manta,
2429342,2026-05-24,Fecha 15,Delfín,,Barcelona SC,
2429343,2026-05-24,Fecha 15,Deportivo Cuenca,,LDU Quito,
2429344,2026-05-24,Fecha 15,Emelec,,Macará,
2429345,2026-05-24,Fecha 15,Independiente del Valle,,Libertad FC,
2429346,2026-05-24,Fecha 15,Mushuc Runa,,Guayaquil City,
2429347,2026-05-24,Fecha 15,Orense,,Universidad Católica del Ecuador,
2429348,2026-05-24,Fecha 15,Técnico Universitario,,Leones,
2429349,2026-05-31,Fecha 16,Deportivo Cuenca,,Delfín,
2429350,2026-05-31,Fecha 16,Emelec,,Universidad Católica del Ecuador,
2429351,2026-05-31,Fecha 16,Guayaquil City,,Independiente del Valle,
2429352,2026-05-31,Fecha 16,LDU Quito,,Orense,
2429353,2026-05-31,Fecha 16,Leones,,Macará,
2429354,2026-05-31,Fecha 16,Manta,,Libertad FC,
2429355,2026-05-31,Fecha 16,Mushuc Runa,,Aucas,
2429356,2026-05-31,Fecha 16,Técnico Universitario,,Barcelona SC,
2429357,2026-07-01,Fecha 17,Aucas,,Guayaquil City,
2429358,2026-07-01,Fecha 17,Barcelona SC,,Deportivo Cuenca,
2429359,2026-07-01,Fecha 17,Delfín,,Emelec,
2429360,2026-07-01,Fecha 17,Independiente del Valle,,Manta,
2429361,2026-07-01,Fecha 17,Libertad FC,,Leones,
